Days;Time;Slow1;Slow2;Fast1;Fast2
19/03/2017;20:00;0,33000000;0,37000000;0,30840000;0,78060000
19/03/2017;20:15;0,51000000;0,43000000;0,24300000;0,67400000
19/03/2017;20:30;0,56000000;0,54000000;0,26520000;0,75180000
19/03/2017;20:45;0,33000000;0,29000000;0,19460000;0,58300000
19/03/2017;21:00;0,15000000;0,14000000;0,15720000;0,35320000
19/03/2017;21:15;0,00000000;0,00000000;0,07080000;0,17340000
19/03/2017;21:30;0,10000000;0,10000000;0,05020000;0,09280000
19/03/2017;21:45;0,10000000;0,10000000;0,04420000;0,12420000
19/03/2017;22:00;0,20000000;0,05000000;0,06560000;0,18900000
19/03/2017;22:15;0,15000000;0,05000000;0,07960000;0,21860000
19/03/2017;22:30;0,10000000;0,00000000;0,06480000;0,21120000
19/03/2017;22:45;0,05000000;0,00000000;0,05820000;0,15360000
19/03/2017;23:00;0,05000000;0,00000000;0,03700000;0,09460000
19/03/2017;23:15;0,10000000;0,00000000;0,03700000;0,05020000
19/03/2017;23:30;0,10000000;0,00000000;0,02220000;0,04200000
19/03/2017;23:45;0,00000000;0,00000000;0,00740000;0,04200000
19/03/2017;24:00;0,00000000;0,00000000;0,01480000;0,05680000
20/03/2017;00:15;0,00000000;0,00000000;0,01480000;0,04440000
20/03/2017;00:30;0,04000000;0,10000000;0,00740000;0,04440000
20/03/2017;00:45;0,04000000;0,10000000;0,00000000;0,02220000
20/03/2017;01:00;0,00000000;0,05000000;0,00000000;0,02220000
20/03/2017;01:15;0,00000000;0,15000000;0,02220000;0,00740000
20/03/2017;01:30;0,00000000;0,15000000;0,02220000;0,00740000
20/03/2017;01:45;0,00000000;0,10000000;0,03700000;0,00740000
20/03/2017;02:00;0,00000000;0,10000000;0,04440000;0,03620000
20/03/2017;02:15;0,00000000;0,15000000;0,04440000;0,10100000
20/03/2017;02:30;0,14000000;0,15000000;0,07960000;0,12900000
20/03/2017;02:45;0,24000000;0,10000000;0,09360000;0,12900000
20/03/2017;03:00;0,20000000;0,10000000;0,08620000;0,08560000
20/03/2017;03:15;0,29000000;0,10000000;0,07900000;0,07080000
20/03/2017;03:30;0,24000000;0,05000000;0,08640000;0,04860000
20/03/2017;03:45;0,40000000;0,05000000;0,10860000;0,06420000
20/03/2017;04:00;0,54000000;0,05000000;0,10780000;0,07160000
20/03/2017;04:15;0,34000000;0,05000000;0,08640000;0,07080000
20/03/2017;04:30;0,10000000;0,05000000;0,08620000;0,04920000
20/03/2017;04:45;0,15000000;0,00000000;0,08620000;0,04920000
20/03/2017;05:00;0,19000000;0,29000000;0,10680000;0,02780000
20/03/2017;05:15;0,34000000;0,44000000;0,13560000;0,02200000
20/03/2017;05:30;0,25000000;0,34000000;0,14380000;0,02940000
20/03/2017;05:45;0,20000000;0,25000000;0,13660000;0,02960000
20/03/2017;06:00;0,10000000;0,20000000;0,13660000;0,02960000
20/03/2017;06:15;0,15000000;0,05000000;0,14380000;0,02960000
20/03/2017;06:30;0,20000000;0,05000000;0,15120000;0,02220000
20/03/2017;06:45;0,20000000;0,15000000;0,16500000;0,02960000
20/03/2017;07:00;0,10000000;0,25000000;0,17240000;0,02220000
20/03/2017;07:15;0,05000000;0,15000000;0,17240000;0,02220000
20/03/2017;07:30;0,44000000;0,25000000;0,21500000;0,08700000
20/03/2017;07:45;0,88000000;0,30000000;0,23060000;0,13880000
20/03/2017;08:00;0,97000000;0,15000000;0,22400000;0,16840000
20/03/2017;08:15;0,82000000;0,10000000;0,21000000;0,16100000
20/03/2017;08:30;0,33000000;0,10000000;0,18120000;0,12500000
20/03/2017;08:45;0,09000000;0,15000000;0,20180000;0,10280000
20/03/2017;09:00;0,10000000;0,25000000;0,21640000;0,08060000
20/03/2017;09:15;0,10000000;0,20000000;0,20160000;0,07320000
20/03/2017;09:30;0,05000000;0,15000000;0,19440000;0,07320000
20/03/2017;09:45;0,05000000;0,05000000;0,16560000;0,06580000
20/03/2017;10:00;0,14000000;0,10000000;0,20020000;0,05100000
20/03/2017;10:15;0,23000000;0,33000000;0,25140000;0,05100000
20/03/2017;10:30;0,19000000;0,43000000;0,25880000;0,05100000
20/03/2017;10:45;0,14000000;0,34000000;0,25220000;0,05100000
20/03/2017;11:00;0,09000000;0,19000000;0,21560000;0,04360000
20/03/2017;11:15;0,09000000;0,00000000;0,20080000;0,04360000
20/03/2017;11:30;0,14000000;0,09000000;0,23700000;0,02960000
20/03/2017;11:45;0,14000000;0,28000000;0,22220000;0,03700000
20/03/2017;12:00;0,14000000;0,38000000;0,20180000;0,06640000
20/03/2017;12:15;0,10000000;0,38000000;0,20180000;0,08780000
20/03/2017;12:30;0,10000000;0,15000000;0,18700000;0,08040000
20/03/2017;12:45;0,15000000;0,15000000;0,19340000;0,07300000
20/03/2017;13:00;0,10000000;0,40000000;0,20800000;0,08040000
20/03/2017;13:15;0,10000000;0,50000000;0,20800000;0,07300000
20/03/2017;13:30;0,10000000;0,40000000;0,16460000;0,09520000
20/03/2017;13:45;0,10000000;0,40000000;0,15660000;0,11520000
20/03/2017;14:00;0,10000000;0,29000000;0,17220000;0,13000000
20/03/2017;14:15;0,05000000;0,19000000;0,17960000;0,10780000
20/03/2017;14:30;0,00000000;0,24000000;0,17300000;0,06660000
20/03/2017;14:45;0,00000000;0,20000000;0,13700000;0,05920000
20/03/2017;15:00;0,00000000;0,05000000;0,12960000;0,05180000
20/03/2017;15:15;0,00000000;0,00000000;0,12960000;0,04440000
20/03/2017;15:30;0,09000000;0,15000000;0,14440000;0,04440000
20/03/2017;15:45;0,31000000;0,24000000;0,18880000;0,03700000
20/03/2017;16:00;0,31000000;0,24000000;0,18140000;0,02960000
20/03/2017;16:15;0,22000000;0,19000000;0,17480000;0,02960000
20/03/2017;16:30;0,08000000;0,09000000;0,14620000;0,02220000
20/03/2017;16:45;0,00000000;0,04000000;0,16740000;0,02220000
20/03/2017;17:00;0,00000000;0,05000000;0,16740000;0,02960000
20/03/2017;17:15;0,00000000;0,05000000;0,16740000;0,02960000
20/03/2017;17:30;0,00000000;0,05000000;0,16740000;0,02960000
20/03/2017;17:45;0,00000000;0,05000000;0,14600000;0,02220000
20/03/2017;18:00;0,05000000;0,05000000;0,12400000;0,03700000
20/03/2017;18:15;0,10000000;0,10000000;0,12400000;0,04440000
20/03/2017;18:30;0,54000000;0,61000000;0,29920000;0,35780000
20/03/2017;18:45;1,46000000;0,94000000;0,44800000;0,70700000
20/03/2017;19:00;1,99000000;1,05000000;0,63400000;1,01600000
20/03/2017;19:15;1,75000000;0,66000000;0,54180000;0,92960000
20/03/2017;19:30;0,90000000;0,28000000;0,47200000;0,78100000
20/03/2017;19:45;0,28000000;0,18000000;0,32020000;0,38060000
20/03/2017;20:00;0,44000000;0,15000000;0,23700000;0,25180000
20/03/2017;20:15;0,94000000;0,34000000;0,18020000;0,23800000
20/03/2017;20:30;1,13000000;0,38000000;0,20840000;0,32580000
20/03/2017;20:45;0,83000000;0,33000000;0,14440000;0,30460000
20/03/2017;21:00;0,44000000;0,18000000;0,10760000;0,20980000
20/03/2017;21:15;0,19000000;0,05000000;0,07960000;0,11060000
20/03/2017;21:30;0,17000000;0,05000000;0,05080000;0,10920000
20/03/2017;21:45;0,27000000;0,00000000;0,05760000;0,07720000
20/03/2017;22:00;0,28000000;0,15000000;0,04280000;0,12140000
20/03/2017;22:15;0,24000000;0,15000000;0,03540000;0,12140000
20/03/2017;22:30;0,05000000;0,15000000;0,01480000;0,10680000
20/03/2017;22:45;0,05000000;0,10000000;0,00660000;0,05740000
20/03/2017;23:00;0,05000000;0,05000000;0,01400000;0,04420000
20/03/2017;23:15;0,05000000;0,05000000;0,01400000;0,00000000
20/03/2017;23:30;0,00000000;0,10000000;0,01400000;0,00000000
20/03/2017;23:45;0,00000000;0,05000000;0,00000000;0,00000000
20/03/2017;24:00;0,00000000;0,05000000;0,00000000;0,00000000
21/03/2017;00:15;0,00000000;0,00000000;0,00000000;0,00000000
21/03/2017;00:30;0,09000000;0,20000000;0,00000000;0,00000000
21/03/2017;00:45;0,09000000;0,20000000;0,00000000;0,00000000
21/03/2017;01:00;0,05000000;0,15000000;0,00000000;0,00000000
21/03/2017;01:15;0,10000000;0,15000000;0,01480000;0,00000000
21/03/2017;01:30;0,05000000;0,15000000;0,01480000;0,00740000
21/03/2017;01:45;0,05000000;0,10000000;0,02220000;0,00740000
21/03/2017;02:00;0,05000000;0,15000000;0,03700000;0,03540000
21/03/2017;02:15;0,10000000;0,15000000;0,05180000;0,08460000
21/03/2017;02:30;0,05000000;0,20000000;0,08780000;0,11960000
21/03/2017;02:45;0,10000000;0,10000000;0,08040000;0,11300000
21/03/2017;03:00;0,10000000;0,05000000;0,07300000;0,09180000
21/03/2017;03:15;0,19000000;0,00000000;0,05100000;0,07200000
21/03/2017;03:30;0,29000000;0,00000000;0,04440000;0,04360000
21/03/2017;03:45;0,69000000;0,00000000;0,06660000;0,05840000
21/03/2017;04:00;0,77000000;0,00000000;0,09540000;0,05840000
21/03/2017;04:15;0,43000000;0,00000000;0,08800000;0,05920000
21/03/2017;04:30;0,24000000;0,00000000;0,07980000;0,06580000
21/03/2017;04:45;0,24000000;0,00000000;0,07980000;0,05840000
21/03/2017;05:00;0,23000000;0,14000000;0,13040000;0,06580000
21/03/2017;05:15;0,37000000;0,37000000;0,17380000;0,06580000
21/03/2017;05:30;0,18000000;0,33000000;0,15980000;0,06580000
21/03/2017;05:45;0,13000000;0,28000000;0,15980000;0,05180000
21/03/2017;06:00;0,10000000;0,23000000;0,15900000;0,05180000
21/03/2017;06:15;0,10000000;0,13000000;0,16640000;0,03700000
21/03/2017;06:30;0,14000000;0,14000000;0,18040000;0,03700000
21/03/2017;06:45;0,04000000;0,24000000;0,18720000;0,03700000
21/03/2017;07:00;0,00000000;0,18000000;0,19460000;0,02960000
21/03/2017;07:15;0,00000000;0,18000000;0,17400000;0,02960000
21/03/2017;07:30;0,33000000;0,33000000;0,22420000;0,07320000
21/03/2017;07:45;0,67000000;0,73000000;0,28020000;0,11760000
21/03/2017;08:00;1,04000000;0,54000000;0,30240000;0,14620000
21/03/2017;08:15;0,76000000;0,35000000;0,29580000;0,12480000
21/03/2017;08:30;0,43000000;0,20000000;0,27360000;0,09520000
21/03/2017;08:45;0,29000000;0,14000000;0,28740000;0,07300000
21/03/2017;09:00;0,14000000;0,14000000;0,32260000;0,04420000
21/03/2017;09:15;0,14000000;0,10000000;0,30780000;0,02940000
21/03/2017;09:30;0,04000000;0,00000000;0,30040000;0,02940000
21/03/2017;09:45;0,04000000;0,00000000;0,25640000;0,02200000
21/03/2017;10:00;0,10000000;0,19000000;0,25640000;0,03680000
21/03/2017;10:15;0,24000000;0,44000000;0,27040000;0,03680000
21/03/2017;10:30;0,28000000;0,39000000;0,26380000;0,03680000
21/03/2017;10:45;0,18000000;0,30000000;0,26380000;0,01460000
21/03/2017;11:00;0,10000000;0,25000000;0,24980000;0,01460000
21/03/2017;11:15;0,15000000;0,10000000;0,22100000;0,02200000
21/03/2017;11:30;0,15000000;0,10000000;0,25060000;0,02940000
21/03/2017;11:45;0,10000000;0,25000000;0,24980000;0,03680000
21/03/2017;12:00;0,20000000;0,30000000;0,22200000;0,02880000
21/03/2017;12:15;0,20000000;0,30000000;0,21480000;0,02880000
21/03/2017;12:30;0,20000000;0,25000000;0,17200000;0,03540000
21/03/2017;12:45;0,15000000;0,35000000;0,16540000;0,02800000
21/03/2017;13:00;0,10000000;0,47000000;0,18660000;0,02140000
21/03/2017;13:15;0,10000000;0,52000000;0,17920000;0,00740000
21/03/2017;13:30;0,10000000;0,42000000;0,17260000;0,06420000
